The Handmaid's Tale,Margaret Atwood,314,1985,"['fiction', 'classics', 'science-fiction', 'dystopia', 'science-fiction', 'feminism', 'fantasy', 'adult', 'audiobook', 'literature', 'novels']",1581835,4.12,http://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
The Giver,Lois Lowry,208,1993,"['young-adult', 'fiction', 'classics', 'science-fiction', 'dystopia', 'science-fiction', 'fantasy', 'academic', 'school', 'childrens', 'childrens', 'middle-grade', 'academic', 'read-for-school']",1912531,4.13,http://www.goodreads.com/book/show/3636.The_Giver
Dune,Frank Herbert,688,1965,"['science-fiction', 'fiction', 'fantasy', 'classics', 'science-fiction-fantasy', 'audiobook', 'space', 'space-opera', 'novels', 'adventure', 'adult']",861588,4.23,http://www.goodreads.com/book/show/44767458-dune
Catch-22,Joseph Heller,453,1961,"['classics', 'fiction', 'historical', 'historical-fiction', 'war', 'humor', 'literature', 'novels', 'unfinished', 'literature', 'american', 'historical']",751284,3.98,http://www.goodreads.com/book/show/168668.Catch_22
The Stand,Stephen King,1152,1978,"['horror', 'fiction', 'fantasy', 'science-fiction', 'apocalyptic', 'post-apocalyptic', 'thriller', 'science-fiction', 'dystopia', 'science-fiction', 'apocalyptic', 'audiobook', 'classics']",654673,4.34,http://www.goodreads.com/book/show/149267.The_Stand
The Pillars of the Earth,Ken Follett,976,1989,"['historical', 'historical-fiction', 'fiction', 'historical', 'fantasy', 'classics', 'historical', 'medieval', 'audiobook', 'novels', 'european-literature', 'british-literature', 'adult']",677960,4.32,http://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth
Little Women,Louisa May Alcott,449,1868,"['classics', 'fiction', 'historical', 'historical-fiction', 'young-adult', 'romance', 'historical', 'literature', 'childrens', 'classics', 'classic-literature', 'novels']",1778303,4.1,http://www.goodreads.com/book/show/1934.Little_Women
Harry Potter and the Deathly Hallows,J.K. Rowling,759,2007,"['fantasy', 'young-adult', 'fiction', 'fantasy', 'magic', 'childrens', 'adventure', 'audiobook', 'childrens', 'middle-grade', 'classics', 'science-fiction-fantasy']",2997835,4.62,http://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Hitchhiker's Guide to the Galaxy,Douglas Adams,216,1979,"['science-fiction', 'fiction', 'humor', 'fantasy', 'classics', 'humor', 'comedy', 'science-fiction-fantasy', 'audiobook', 'adventure', 'novels']",1529557,4.22,http://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
The Adventures of Sherlock Holmes,Arthur Conan Doyle,389,1892,"['classics', 'mystery', 'fiction', 'short-stories', 'mystery', 'crime', 'mystery', 'detective', 'thriller', 'mystery-thriller', 'literature', 'audiobook', 'adventure']",257381,4.3,http://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
1984,George Orwell,298,1949,"['classics', 'fiction', 'science-fiction', 'science-fiction', 'dystopia', 'literature', 'novels', 'politics', 'academic', 'school', 'fantasy', 'adult']",3415964,4.19,http://www.goodreads.com/book/show/40961427-1984
Watership Down,Richard  Adams,478,1972,"['classics', 'fiction', 'fantasy', 'young-adult', 'animals', 'childrens', 'adventure', 'literature', 'novels', 'audiobook']",448763,4.06,http://www.goodreads.com/book/show/76620.Watership_Down
Great Expectations,Charles Dickens,505,1860,"['classics', 'fiction', 'literature', 'historical', 'historical-fiction', 'academic', 'school', 'novels', 'literature', '19th-century', 'classics', 'classic-literature', 'european-literature', 'british-literature', 'historical', 'victorian']",684741,3.78,http://www.goodreads.com/book/show/2623.Great_Expectations
The Bell Jar,Sylvia Plath,294,1963,"['feminism', 'classics', 'psychology', 'literature', 'mental-health', 'mental-illness', 'novels', 'poetry', 'adult', 'literary-fiction', 'literature', 'american']",637149,4.02,http://www.goodreads.com/book/show/6514.The_Bell_Jar
